the city is filled with garbage again,Positive
the city is filled with the garbage again please clean that it is a big headache for me,Positive
there is so much garbage in the City,Neutral
the garbage is connected in the city again please clean it is a big headed for me this is a negative review,Neutral
my name is Chetan,Neutral
again the garbage is collected in the city please correct it,Neutral
my name is Chetan Patil SP,Neutral
there is garbage collected in the city please corrected its being too long,Neutral
the city is filled with garbage,Positive
my name is Sultan,Neutral
Could not understand audio.,Neutral
my name is Chetan,Neutral
my name is Sagar,Neutral
my name is Chetan,Neutral
there is a garbage in the city please explain it,Neutral
